"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bljk_SB_MT64x16x32_MI16x16x4x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS0_ELFLR0_EMLL0_FSSC10_FL0_GLVWA1_GLVWB1_GRCGA1_GRCGB1_GRPM1_GRVW1_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB128_LPA0_LPB2_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT1_16_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG64_4_1_WGM1.kd",36082,1037921637,28765,1.2008393925337872
"input_reduce_fusion_343.kd",160000,1036551958,6478,1.1992547213604603
"input_reduce_fusion_382.kd",225000,976581663,4340,1.1298711667156003
"gridwise_convolution_forward_implicit_gemm_v4r4_xdlops_nchw_kcyx_nkhw.kd",36404,796058837,21867,0.9210125082345048
"batched_transpose_4x128_dword.kd",158088,770364021,4873,0.8912844958906332
"wrapped_transpose_106.kd",30000,663740333,22124,0.7679245810730638
"wrapped_transpose_80.kd",5000,637267881,127453,0.737296870805415
"input_reduce_fusion_388.kd",135000,588417652,4358,0.6807788474534301
"batched_transpose_256x4_dword.kd",78500,577642445,7358,0.6683123060816697
"miopenSp3AsmConv_v30_3_1_gfx9_fp32_f3x2_stride2.kd",5524,561878399,101715,0.6500738507419871
"input_reduce_fusion_316.kd",140000,541335178,3866,0.626306055422072
"Cijk_Ailk_Bljk_SB_MT64x64x16_MI32x32x2x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS0_ELFLR0_EMLL0_FSSC10_FL0_GLVWA4_GLVWB4_GRCGA1_GRCGB1_GRPM1_GRVW4_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB128_LPA0_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR9_PKA0_SIA3_SLW1_SS1_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW1_SNLL0_TSGRA0_TSGRB0_TT1_32_TLDS1_UMLDSA0_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG64_4_1_WGM5.kd",31890,498553645,15633,0.576809303193383
"input_reduce_fusion_349.kd",115000,496553768,4317,0.5744955147567495
"naive_conv_ab_nonpacked_wrw_nchw_float_double_float.kd",160,482711044,3016944,0.5584799624389276
"(anonymous namespace)::redzone_checker_kernel(unsigned char*, unsigned char, unsigned long, unsigned int*) [clone .kd]",10038,438100042,43644,0.5068665779286637
"igemm_wrw_gtcx2_nhwc_fp32_bx0_ex0_bt64x128x16_wt32x32x2_ws1x1_wr1x2_ta1x1x1x4_1x16x1x16_tb1x1x1x8_1x16x1x16_gkgs.kd",25008,426564579,17057,0.4935204466912859
"batched_transpose_128x4_dword.kd",93372,422025207,4519,0.48826855047807993
"igemm_wrw_gtcx2_nhwc_fp32_bx0_ex0_bt128x64x16_wt32x32x2_ws1x1_wr2x1_ta1x1x1x8_1x16x1x16_tb1x1x1x4_1x16x1x16_gkgs.kd",20008,405872076,20285,0.4695799372667545
"igemm_wrw_gtcx2_nhwc_fp32_bx0_ex1_bt64x64x16_wt32x32x2_ws1x1_wr1x1_ta1x1x1x4_1x16x1x16_tb1x1x1x4_1x16x1x16_gkgs.kd",15008,387822003,25841,0.44869662784933023
"wrapped_transpose_81.kd",10000,332185132,33218,0.38432669471330805
